type,amount,otherPlayer,player,time
Repair Bill,3902,Merchant,Neffer,1577131323
Postage,60,Neffbankfish,Neffer,1577136793
Repair Bill,42482,Merchant,Neffer,1577156101
Postage,330,Nefferbank,Neffer,1577157819
Repair Bill,18131,Merchant,Neffer,1577144387
Repair Bill,2108,Merchant,Neffer,1577133886
Postage,30,Confused,Nefferbank,1577388413
Postage,30,Neffer,Nefferbank,1577388432
Money Transfer,800000,Neffer,Nefferbank,1577388432
Postage,30,Nefferbank,Confused,1577393324
Postage,30,Neffer,Confused,1577393319
Postage,30,Neffbankfish,Nefferbank,1577388406
Postage,30,Nefferbank,Neffer,1577405504
Money Transfer,740000,Neffer,Neffbankench,1577057624
Repair Bill,1863,Merchant,Neffer,1577051761
Postage,30,Neffbankench,Nefferbank,1577412852
Postage,270,Nefferbank,Neffer,1577460626
Postage,120,Neffbankench,Neffer,1577463255
Postage,210,Neffbankherb,Neffer,1577463271
Postage,30,Nefferbank,Neffer,1577469743
Postage,60,Nefferbank,Neffer,1577473166
Postage,540,Nefferbank,Neffer,1577475132
Repair Bill,2514,Merchant,Neffer,1577475055
Postage,30,Nefferbank,Neffer,1577472837
Postage,60,Neffbankherb,Neffer,1577493489
Postage,30,Nefferbank,Neffer,1577463263
Postage,60,Neffbankench,Neffer,1577499172
Postage,30,Nefferbank,Neffer,1577499186
Postage,480,Sellee,Nefferbank,1577536666
Postage,30,Neffer,Nefferbank,1577536820
Money Transfer,150000,Neffer,Nefferbank,1577536820
Postage,30,Nefferbank,Neffer,1577538018
Postage,30,Brutaldask,Neffer,1577543157
Postage,30,Neffbankench,Neffer,1577543729
Postage,120,Neffbankfish,Neffer,1577543571
Postage,30,Nefferbank,Neffer,1577560447
Postage,120,Neffbankfish,Neffer,1577560745
Postage,30,Neffbankench,Neffer,1577566275
Postage,60,Nefferbank,Neffer,1577566285
Postage,60,Neffbankherb,Confused,1577568724
Postage,60,Neffbankench,Neffer,1577571821
Postage,30,Nefferbank,Neffer,1577573715
Postage,90,Nefferbank,Confused,1577568714
Repair Bill,177,Merchant,Confused,1577577300
Postage,270,Nefferbank,Confused,1577579648
Postage,300,Nefferbank,Confused,1577580843
Postage,30,Neffbankench,Neffer,1577584124
Postage,30,Neffbankherb,Neffer,1577584211
Postage,30,Nefferbank,Neffer,1577584129
Postage,30,Confused,Neffbankherb,1577624679
Postage,450,Nefferbank,Confused,1577577352
Postage,30,Neffer,Nefferbank,1577630344
Postage,300,onahawe,Neffbankherb,1577636609
Postage,30,Neffbankherb,Neffer,1577637518
Money Transfer,200000,Neffer,Nefferbank,1577630344
Money Transfer,650000,Neffer,Neffbankench,1577644108
Postage,30,Neffer,Neffbankench,1577644108
Money Transfer,100000,Frozbank,Neffer,1577655640
Postage,150,Nefferbank,Neffer,1577655695
Postage,30,Neffbankench,Neffer,1577657312
Postage,30,Neffer,Neffbankench,1577658089
Money Transfer,1500000,Azgabank,Neffer,1577663446
Postage,30,Neffbankench,Neffer,1577663632
Postage,60,Neffbankench,Neffer,1577663945
Postage,180,Confused,Nefferbank,1577709253
Money Transfer,120000,Jidask,Neffer,1577714929
Postage,30,Neffbankench,Neffer,1577715112
Postage,180,Neffbankherb,Confused,1577717489
Postage,240,Nefferbank,Confused,1577718794
Postage,30,Nefferbank,Confused,1577719544
Postage,120,Neffbankherb,Nefferbank,1577728384
Postage,390,Nefferbank,Confused,1577717543
Postage,30,Nefferbank,Confused,1577756921
Postage,60,Neffbankherb,Nefferbank,1577756794
Postage,90,Confused,Neffbankherb,1577761736
Postage,90,Neffbankench,Neffer,1577794404
Postage,120,Neffbankfish,Jidask,1577802009
Postage,30,Neffer,Neffbankench,1577887322
Money Transfer,90000,Neffer,Neffbankench,1577887322
Postage,30,Jidask,Neffer,1577714929
Repair Bill,8337,Merchant,Neffer,1577891950
Postage,30,Nefferbank,Neffer,1577892022
Repair Bill,57,Merchant,Neffer,1577906637
Postage,120,Nefferbank,Neffer,1577911803
Repair Bill,4398,Merchant,Neffer,1577911763
Postage,450,Neffer,Jidask,1577918734
Postage,510,Neffbankfish,Neffer,1577920519
Postage,450,Neffbankfish,Neffer,1577923471
Postage,30,Neffer,Nefferbank,1577987175
Postage,30,Neffbankench,Neffer,1577990936
Repair Bill,969,Merchant,Neffer,1578000471
Repair Bill,10243,Merchant,Neffer,1578002731
Postage,30,Frozbank,Neffer,1578002762
Postage,60,Frozbank,Neffer,1578004448
Postage,30,Nefferbank,Neffer,1578004471
Postage,30,Neffbankench,Neffer,1578005672
Postage,30,Confused,Neffer,1578007643
Postage,30,Neffbankench,Neffer,1578007654
Postage,30,Confused,Neffer,1578012076
Money Transfer,2000000,Azgabank,Neffer,1578012144
Postage,30,Azgabank,Neffer,1578012144
Postage,90,Neffbankench,Neffer,1578075793
Postage,60,Neffbankench,Neffer,1578076481
Postage,30,Confused,Neffer,1578075507
Postage,30,Nefferbank,Neffer,1578158066
Postage,60,Nefferbank,Neffer,1578162717
Postage,30,Neffbankench,Neffer,1578163949
Postage,30,Confused,Neffbankherb,1578165943
Postage,240,Nefferbank,Confused,1578170011
Postage,510,Nefferbank,Confused,1578173816
Postage,30,Nefferbank,Confused,1578175335
Postage,30,Neffbankench,Neffer,1578181502
Repair Bill,1148,Merchant,Neffer,1578183688
Postage,60,Neffer,Nefferbank,1578184171
Postage,120,Neffbankherb,Nefferbank,1578184203
Money Transfer,950000,Neffer,Nefferbank,1578234735
Postage,30,Neffer,Nefferbank,1578234735
Postage,120,Neffbankench,Neffer,1578238877
Postage,60,Neffbankench,Neffer,1578249364
Postage,60,Neffbankench,Neffer,1578235885
Postage,30,Neffbankench,Neffer,1578256482
Postage,30,Azgabank,Neffer,1578256742
Money Transfer,1000000,Azgabank,Neffer,1578256742
Postage,30,Neffbankench,Neffer,1578261292
Postage,60,Confused,Neffbankherb,1578337780
Postage,90,Neffbankench,Neffer,1578338252
Postage,30,Neffer,Neffbankherb,1578249981
Postage,30,Nefferbank,Confused,1578355442
Money Transfer,610000,Neffer,Neffbankfish,1578425759
Postage,30,Neffer,Neffbankfish,1578425759
Money Transfer,400000,Neffer,Nefferbank,1578426331
Postage,30,Neffer,Nefferbank,1578426331
Postage,60,Nefferbank,Neffer,1578429256
Postage,90,Confused,Nefferbank,1578438821
Postage,120,Neffbankench,Neffer,1578439875
Postage,60,Neffbankench,Neffer,1578429287
Postage,30,Confused,Neffer,1578429251
Postage,30,Neffbankench,Neffer,1578443473
Money Transfer,700000,Neffer,Neffbankfish,1578474633
Money Transfer,1900000,Neffer,Neffbankfish,1578511172
Postage,90,Confused,Neffer,1578511670
Postage,210,Neffbankfish,Neffer,1578512371
Postage,30,Neffer,Neffbankfish,1578511172
Postage,30,Neffer,Neffbankfish,1578474633
Postage,30,Neffer,Neffbankfish,1578358911
Money Transfer,1150000,Neffer,Neffbankfish,1578358911
Postage,30,Neffer,Nefferbank,1578532183
Money Transfer,600000,Neffer,Neffbankfish,1578594491
Repair Bill,14302,Merchant,Neffer,1578606073
Postage,60,Frozbank,Neffer,1578608506
Money Transfer,120000,Frozbank,Neffer,1578608506
Postage,30,Neffbankench,Neffer,1578609337
Postage,30,Neffer,Neffbankfish,1578646982
Postage,90,Neffbankench,Neffer,1578699350
Postage,60,Confused,Neffer,1578708415
Repair Bill,28602,Merchant,Neffer,1578708496
Postage,30,Confused,Neffer,1578708772
Postage,90,Neffbankench,Neffer,1578744185
Postage,30,Neffbankherb,Neffer,1578744192
Postage,30,Neffer,Neffbankfish,1578744830
Money Transfer,1800000,Neffer,Neffbankfish,1578744830
Postage,90,Neffbankherb,Neffer,1578708670
Postage,90,Neffbankench,Neffer,1578708475
Postage,30,Neffbankench,Neffer,1578756907
Postage,30,Confused,Nefferbank,1578761845
Postage,30,Neffer,Nefferbank,1578761934
Money Transfer,1100000,Neffer,Nefferbank,1578761934
Postage,30,Confused,Neffbankherb,1578768576
Postage,30,Neffbankench,Neffer,1578698724
Money Transfer,400000,Neffer,Neffbankfish,1578646982
Postage,30,Neffer,Neffbankfish,1578594491
Money Transfer,1500000,Neffer,Nefferbank,1578532183
Postage,90,Neffbankench,Nefferbank,1578560532
Postage,120,Nefferbank,Confused,1578798163
Postage,60,Neffbankench,Neffer,1578798554
Money Transfer,100000,Neffer,Neffbankherb,1578249981
Postage,60,Neffer,Neffbankench,1578834932
Postage,60,Nefferbank,Confused,1578843212
Postage,420,Nefferbank,Confused,1578189102
Money Transfer,500000,Neffer,Nefferbank,1578854844
Postage,30,Neffer,Nefferbank,1578854844
Postage,60,Nefferbank,Neffer,1578181496
Postage,90,Nefferbank,Neffer,1578869583
Postage,60,Neffbankench,Neffer,1578872988
Postage,60,Neffbankench,Neffer,1578872246
Postage,30,Visas,Neffer,1578875339
Postage,90,Neffbankench,Neffer,1578875369
Postage,30,Azolith,Neffer,1578876407
Postage,30,Neffer,Neffbankherb,1578905462
Postage,120,Neffbankench,Neffer,1578940920
Postage,30,Neffbankfish,Neffer,1578940926
Postage,30,Confused,Nefferbank,1578941201
Postage,30,Neffer,Neffbankfish,1578941617
Postage,60,Nefferbank,Neffer,1578951095
Postage,30,Nefferbank,Neffer,1578959302
Repair Bill,10876,Merchant,Neffer,1578964814
Postage,180,Nefferbank,Neffer,1578964849
Money Transfer,350000,Neffer,Neffbankherb,1578965209
Postage,30,Neffer,Neffbankherb,1578965209
Postage,180,Neffbankench,Neffer,1579028588
Postage,180,Nefferbank,Confused,1579029433
Postage,300,Nefferbank,Confused,1579050792
