type,amount,otherPlayer,player,time
Money Transfer,109020,Horde Auction House,Nefferbank,1591745973
Money Transfer,1,Nefferbank,Confused,1591827322
Money Transfer,69034,Horde Auction House,Thepotman,1591787946
Money Transfer,1650159,Thepotman,Nefferbank,1591906074
Money Transfer,2500000,Nefferbank,Neffer,1591962034
Money Transfer,1081064,Thepotman,Nefferbank,1592169394
Money Transfer,301200,Horde Auction House,Nefferbank,1592267992
Money Transfer,103551,Horde Auction House,Neffbankench,1592254866
Money Transfer,65034,Horde Auction House,Neffbankench,1592307169
Money Transfer,207102,Horde Auction House,Nefferbank,1591802762
Money Transfer,155797,Horde Auction House,Neffer,1579807897
Money Transfer,900000,Nefferbank,Neffer,1578250115
Money Transfer,610000,Neffbankfish,Neffer,1578425764
Money Transfer,1700000,Nefferbank,Neffer,1579950204
Money Transfer,200000,Nefferbank,Neffer,1579352126
Money Transfer,10821,Sellee,Nefferbank,1592568122
Money Transfer,950000,Nefferbank,Neffer,1578234738
Money Transfer,700000,Horde Auction House,Nefferbank,1573485120
Money Transfer,1400000,Nefferbank,Neffer,1573586022
Money Transfer,119751,Horde Auction House,Neffbankench,1592509294
Money Transfer,94503,Horde Auction House,Marnaa,1592561327
Money Transfer,1200000,Marnaa,Neffbankench,1592615659
Money Transfer,79034,Horde Auction House,Neffbankench,1592559319
Money Transfer,750000,Thepotman,Marnaa,1592661840
Money Transfer,158068,Horde Auction House,Neffbankench,1592586461
Money Transfer,30010,Horde Auction House,Confused,1592589212
Money Transfer,118551,Horde Auction House,Neffbankench,1592589218
Money Transfer,200602,Horde Auction House,Neffbankench,1592600065
Money Transfer,42238,Horde Auction House,Neffbankench,1592603978
Money Transfer,52399,Horde Auction House,Neffer,1573593879
Money Transfer,1700000,Neffbankherb,Neffer,1581810144
Money Transfer,200000,Nefferbank,Neffstorage,1581978607
Money Transfer,3978998,Thepotman,Nefferbank,1593039994
Money Transfer,400000,Horlof,Frozengold,1593107180
Money Transfer,400000,Celee,Frozengold,1593107305
Money Transfer,400000,Pykkles,Frozengold,1593107350
Money Transfer,400000,Anthraxx,Frozengold,1593107394
Money Transfer,400000,Darchi,Frozengold,1593107400
Money Transfer,400000,Kanaljen,Frozengold,1593107422
Money Transfer,400000,Onahawe,Frozengold,1593106912
Money Transfer,1734704,Thepotman,Nefferbank,1593098435
Money Transfer,149352,Thepotman,Nefferbank,1592933900
Money Transfer,408188,Marnaa,Nefferbank,1592933993
Money Transfer,3081957,Thepotman,Nefferbank,1592772662
Money Transfer,604168,Thepotman,Nefferbank,1592778215
Money Transfer,1000000,Neffbankench,Neffer,1592740859
Money Transfer,9051,Horde Auction House,Neffbankench,1592641316
Money Transfer,5000000,Neffbankench,Nefferbank,1592747937
Money Transfer,4777702,Thepotman,Nefferbank,1592746741
Money Transfer,66374,Horde Auction House,Neffbankench,1592638946
Money Transfer,1000000,Neffbankench,Neffer,1581800229
Money Transfer,250000,Neffer,Nefferbank,1579557962
Money Transfer,2520000,Neffer,Confused,1582747867
Money Transfer,50000,Neffbankfish,Neffer,1582922640
Money Transfer,39517,Horde Auction House,Marnaa,1592589208
Money Transfer,1500000,Nefferbank,Marnaa,1592062653
Money Transfer,142119,Horde Auction House,Nefferbank,1592329080
Money Transfer,109602,Horde Auction House,Neffbankench,1592408594
